recommendationId,scenarioName,minute,minuteBand,scoreState,originalBetMarket,originalMarketFamily,originalResult,shouldPush,actionable,canonicalMarket,replayQualityAttribution,providerCoverageStatus,replayContextStatus,llmDecisionDiagnostic,marketResolutionStatus,replaySelection,settlementResult,directionalWin,replayOdds,replayStakePercent,replayPnl
13363,13363-1516841-82m-under-2-5,82,75+,level,under_2.5,goals_under,win,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13362,13362-1516840-82m-under-2-5,82,75+,level,under_2.5,goals_under,loss,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13361,13361-1516846-80m-under-3-5,80,75+,one-goal-margin,under_3.5,goals_under,win,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13360,13360-1516844-77m-under-3-5,77,75+,one-goal-margin,under_3.5,goals_under,win,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13359,13359-1516838-77m-under-4-5,77,75+,two-plus-margin,under_4.5,goals_under,win,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13358,13358-1504816-32m-asian-handicap-away-1-25,32,30-44,one-goal-margin,asian_handicap_away_+1.25,asian_handicap,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13357,13357-1516837-74m-under-0-5,74,60-74,0-0,under_0.5,goals_under,loss,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13356,13356-1504813-71m-corners-under-10-5,71,60-74,one-goal-margin,corners_under_10.5,corners,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13355,13355-1516843-75m-under-1-5,75,75+,one-goal-margin,under_1.5,goals_under,win,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13354,13354-1516845-67m-over-3-5,67,60-74,one-goal-margin,over_3.5,goals_over,loss,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13353,13353-1504815-25m-ht-under-2-5,25,00-29,two-plus-margin,ht_under_2.5,other,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13352,13352-1504814-45m-btts-no,45,45-59,one-goal-margin,btts_no,btts,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13351,13351-1504813-45m-corners-over-9-5,45,45-59,one-goal-margin,corners_over_9.5,corners,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13350,13350-1504814-30m-corners-under-7-5,30,30-44,one-goal-margin,corners_under_7.5,corners,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13349,13349-1504812-67m-over-4-5,67,60-74,level,over_4.5,goals_over,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13348,13348-1504812-36m-corners-under-8-5,36,30-44,one-goal-margin,corners_under_8.5,corners,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13346,13346-1504817-83m-corners-over-10-5,83,75+,one-goal-margin,corners_over_10.5,corners,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13344,13344-1504817-70m-over-3-75,70,60-74,one-goal-margin,over_3.75,goals_over,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13343,13343-1504817-50m-asian-handicap-home-0-5,50,45-59,one-goal-margin,asian_handicap_home_+0.5,asian_handicap,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13342,13342-1504817-40m-btts-no,40,30-44,one-goal-margin,btts_no,btts,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13341,13341-1403814-83m-under-3-5,83,75+,one-goal-margin,under_3.5,goals_under,win,0,0,unknown,pre_llm_blocked,ok,ok,pre_llm_blocked,not_requested,,,,,0,
13340,13340-1492601-64m-over-3-75,64,60-74,one-goal-margin,over_3.75,goals_over,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13339,13339-1492601-60m-corners-under-6-5,60,60-74,one-goal-margin,corners_under_6.5,corners,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13338,13338-1492601-54m-corners-over-4-5,54,45-59,one-goal-margin,corners_over_4.5,corners,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13337,13337-1492600-40m-under-4-25,40,30-44,one-goal-margin,under_4.25,goals_under,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13336,13336-1492601-37m-asian-handicap-home-0,37,30-44,one-goal-margin,asian_handicap_home_0,asian_handicap,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13335,13335-1492600-19m-ht-under-2-75,19,00-29,two-plus-margin,ht_under_2.75,other,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13333,13333-1492599-81m-1x2-home,81,75+,level,1x2_home,1x2,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13332,13332-1492599-76m-over-4-5,76,75+,level,over_4.5,goals_over,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13331,13331-1492599-68m-asian-handicap-home-0-5,68,60-74,one-goal-margin,asian_handicap_home_+0.5,asian_handicap,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13328,13328-1492598-70m-over-2-75,70,60-74,level,over_2.75,goals_over,loss,0,0,corners_over_8.5,model_policy_mismatch,ok,replay_memory_missing,policy_blocked,resolved,Corners Over 8.5 @1.775,,,,0,
13329,13329-1492599-58m-corners-over-9,58,45-59,two-plus-margin,corners_over_9,corners,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13327,13327-1492599-50m-corners-over-10,50,45-59,two-plus-margin,corners_over_10,corners,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13326,13326-1492598-50m-asian-handicap-away-0-5,50,45-59,level,asian_handicap_away_+0.5,asian_handicap,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13325,13325-1492598-41m-btts-no,41,30-44,one-goal-margin,btts_no,btts,loss,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
13324,13324-1492599-39m-asian-handicap-home-0-25,39,30-44,one-goal-margin,asian_handicap_home_+0.25,asian_handicap,win,0,0,unknown,model_no_bet,ok,ok,no_bet_intentional,not_requested,,,,,0,
